tar_file,sample_id,slice_idx,ssim
Water-bilayer-K-1_val_0.tar,15,3,0.26592534086698405
Water-bilayer-K-1_val_0.tar,15,4,0.24365029652043027
Water-bilayer-K-1_val_0.tar,15,5,0.2697363937804397
Water-bilayer-K-1_val_0.tar,15,6,0.31400143372629796
Water-bilayer-K-1_val_0.tar,15,7,0.25299481578750355
Water-bilayer-K-1_val_0.tar,15,8,0.2721201762568646
Water-bilayer-K-1_val_0.tar,15,9,0.7162983671481993
Water-bilayer-K-1_val_0.tar,15,10,0.9304973038518742
Water-bilayer-K-1_val_0.tar,15,11,0.8807394530038797
Water-bilayer-K-1_val_0.tar,15,12,0.49729987211142734
Water-bilayer-K-1_val_0.tar,15,13,0.4952536273636548
Water-bilayer-K-1_val_0.tar,15,14,0.6045429775117908
Water-bilayer-K-1_val_0.tar,16,0,0.5593833697532079
Water-bilayer-K-1_val_0.tar,16,1,0.5676623813514596
Water-bilayer-K-1_val_0.tar,16,2,0.5624342647972271
Water-bilayer-K-1_val_0.tar,16,3,0.5866855861074676
Water-bilayer-K-1_val_0.tar,16,4,0.634298382701532
Water-bilayer-K-1_val_0.tar,16,5,0.9447409350969602
Water-bilayer-K-1_val_0.tar,16,6,0.8054867199195459
Water-bilayer-K-1_val_0.tar,16,7,0.17963553236639546
Water-bilayer-K-1_val_0.tar,16,8,0.17734519482215422
Water-bilayer-K-1_val_0.tar,16,9,0.19900541682249093
Water-bilayer-K-1_val_0.tar,16,10,0.22545918418471222
Water-bilayer-K-1_val_0.tar,16,11,0.2306212261181365
Water-bilayer-K-1_val_0.tar,16,12,0.24096376324062496
Water-bilayer-K-1_val_0.tar,16,13,0.25422147029330183
Water-bilayer-K-1_val_0.tar,16,14,0.37141609999940794
Water-bilayer-K-1_val_0.tar,17,0,0.9259631741757479
Water-bilayer-K-1_val_0.tar,17,1,0.9473380024905615
Water-bilayer-K-1_val_0.tar,17,2,0.9605266043099047
Water-bilayer-K-1_val_0.tar,17,3,0.9614877366021455
Water-bilayer-K-1_val_0.tar,17,4,0.9643449220122783
Water-bilayer-K-1_val_0.tar,17,5,0.9666112601200265
Water-bilayer-K-1_val_0.tar,17,6,0.9576956419591922
Water-bilayer-K-1_val_0.tar,17,7,0.9554432286422258
Water-bilayer-K-1_val_0.tar,17,8,0.9491660995214912
Water-bilayer-K-1_val_0.tar,17,9,0.9441120267257426
Water-bilayer-K-1_val_0.tar,17,10,0.9438081514512064
Water-bilayer-K-1_val_0.tar,17,11,0.9452551334735699
Water-bilayer-K-1_val_0.tar,17,12,0.9502513063683148
Water-bilayer-K-1_val_0.tar,17,13,0.9629863206398672
Water-bilayer-K-1_val_0.tar,17,14,0.9640586925608676
Water-bilayer-K-1_val_1.tar,18,0,0.7140309979180102
Water-bilayer-K-1_val_1.tar,18,1,0.7212556068183228
Water-bilayer-K-1_val_1.tar,18,2,0.761846908757998
Water-bilayer-K-1_val_1.tar,18,3,0.8807091508591891
Water-bilayer-K-1_val_1.tar,18,4,0.9111154607515267
Water-bilayer-K-1_val_1.tar,18,5,0.9768667123361561
Water-bilayer-K-1_val_1.tar,18,6,0.5105062452520821
Water-bilayer-K-1_val_1.tar,18,7,0.35886288013329715
Water-bilayer-K-1_val_1.tar,18,8,0.3201945633969515
Water-bilayer-K-1_val_1.tar,18,9,0.4070664631013961
Water-bilayer-K-1_val_1.tar,18,10,0.3268366226284745
Water-bilayer-K-1_val_1.tar,18,11,0.3572789403954636
Water-bilayer-K-1_val_1.tar,18,12,0.40281100282312454
Water-bilayer-K-1_val_1.tar,18,13,0.47513370822354734
Water-bilayer-K-1_val_1.tar,18,14,0.46072842674766257
Water-bilayer-K-1_val_1.tar,19,0,0.9723215898312616
Water-bilayer-K-1_val_1.tar,19,1,0.9726453607265554
Water-bilayer-K-1_val_1.tar,19,2,0.9719539461126347
Water-bilayer-K-1_val_1.tar,19,3,0.9726846232990225
Water-bilayer-K-1_val_1.tar,19,4,0.973776589311383
Water-bilayer-K-1_val_1.tar,19,5,0.9674649774975141
Water-bilayer-K-1_val_1.tar,19,6,0.9517535367333327
Water-bilayer-K-1_val_1.tar,19,7,0.9461098357175399
Water-bilayer-K-1_val_1.tar,19,8,0.9343710782017008
Water-bilayer-K-1_val_1.tar,19,9,0.9055469555989697
Water-bilayer-K-1_val_1.tar,19,10,0.8646304890695651
Water-bilayer-K-1_val_1.tar,19,11,0.8917866968956554
Water-bilayer-K-1_val_1.tar,19,12,0.8970323151585244
Water-bilayer-K-1_val_1.tar,19,13,0.9253677855403185
Water-bilayer-K-1_val_1.tar,19,14,0.9323224877562649
Water-bilayer-K-1_val_1.tar,20,0,0.5638404267792692
Water-bilayer-K-1_val_1.tar,20,1,0.5709548777299187
Water-bilayer-K-1_val_1.tar,20,2,0.576810933458101
Water-bilayer-K-1_val_1.tar,20,3,0.5982373281986387
Water-bilayer-K-1_val_1.tar,20,4,0.6242462153365802
Water-bilayer-K-1_val_1.tar,20,5,0.7192772605840294
Water-bilayer-K-1_val_1.tar,20,6,0.957999012183878
Water-bilayer-K-1_val_1.tar,20,7,0.9377899032979594
Water-bilayer-K-1_val_1.tar,20,8,0.9155079899823421
Water-bilayer-K-1_val_1.tar,20,9,0.8452028218667285
Water-bilayer-K-1_val_1.tar,20,10,0.5691423137858707
Water-bilayer-K-1_val_1.tar,20,11,0.4307337444156636
Water-bilayer-K-1_val_1.tar,20,12,0.45216541448745895
Water-bilayer-K-1_val_1.tar,20,13,0.5001184579874719
Water-bilayer-K-1_val_1.tar,20,14,0.5264248808662955
Water-bilayer-K-1_val_1.tar,21,0,0.8464778212375037
Water-bilayer-K-1_val_1.tar,21,1,0.9033192306908787
Water-bilayer-K-1_val_1.tar,21,2,0.9371845048550276
Water-bilayer-K-1_val_1.tar,21,3,0.9669449456045991
Water-bilayer-K-1_val_1.tar,21,4,0.614079676945825
Water-bilayer-K-1_val_1.tar,21,5,0.2639621068405431
Water-bilayer-K-1_val_1.tar,21,6,0.28466283771892426
Water-bilayer-K-1_val_1.tar,21,7,0.3292896125441763
Water-bilayer-K-1_val_1.tar,21,8,0.4403175876467287
Water-bilayer-K-1_val_1.tar,21,9,0.478241781542166
Water-bilayer-K-1_val_1.tar,21,10,0.4777028371849504
Water-bilayer-K-1_val_1.tar,21,11,0.5319106550242649
Water-bilayer-K-1_val_1.tar,21,12,0.597945671076703
Water-bilayer-K-1_val_1.tar,21,13,0.5737848975502507
Water-bilayer-K-1_val_1.tar,21,14,0.44118794167351877
Water-bilayer-K-1_val_1.tar,22,0,0.6397138757943999
Water-bilayer-K-1_val_1.tar,22,1,0.6407317145686724
Water-bilayer-K-1_val_1.tar,22,2,0.6727780390023101
Water-bilayer-K-1_val_1.tar,22,3,0.7027812553246027
Water-bilayer-K-1_val_1.tar,22,4,0.9642931195851199
Water-bilayer-K-1_val_1.tar,22,5,0.951073994311329
Water-bilayer-K-1_val_1.tar,22,6,0.83215933135819
Water-bilayer-K-1_val_1.tar,22,7,0.40489598210449085
Water-bilayer-K-1_val_1.tar,22,8,0.3383083495689415
Water-bilayer-K-1_val_1.tar,22,9,0.3314438721188307
Water-bilayer-K-1_val_1.tar,22,10,0.343730791859329
Water-bilayer-K-1_val_1.tar,22,11,0.3928150820835728
Water-bilayer-K-1_val_1.tar,22,12,0.44720667834018885
Water-bilayer-K-1_val_1.tar,22,13,0.5358758500762145
Water-bilayer-K-1_val_1.tar,22,14,0.6332649382111095
Water-bilayer-K-1_val_1.tar,23,0,0.923467185531072
Water-bilayer-K-1_val_1.tar,23,1,0.944137103713885
Water-bilayer-K-1_val_1.tar,23,2,0.9629287510197608
Water-bilayer-K-1_val_1.tar,23,3,0.9077011289517091
Water-bilayer-K-1_val_1.tar,23,4,0.2992027091389442
Water-bilayer-K-1_val_1.tar,23,5,0.22437535496628686
Water-bilayer-K-1_val_1.tar,23,6,0.22542957331596675
Water-bilayer-K-1_val_1.tar,23,7,0.24921572355325522
Water-bilayer-K-1_val_1.tar,23,8,0.30653834947050695
Water-bilayer-K-1_val_1.tar,23,9,0.4090177474698909
Water-bilayer-K-1_val_1.tar,23,10,0.5343535418151519
Water-bilayer-K-1_val_1.tar,23,11,0.6757068101897044
Water-bilayer-K-1_val_1.tar,23,12,0.7540002493761935
Water-bilayer-K-1_val_1.tar,23,13,0.8014285154343468
Water-bilayer-K-1_val_1.tar,23,14,0.8320588751544937
Water-bilayer-K-1_val_1.tar,24,0,0.893243078787014
Water-bilayer-K-1_val_1.tar,24,1,0.9370589967875707
Water-bilayer-K-1_val_1.tar,24,2,0.9488488568305873
Water-bilayer-K-1_val_1.tar,24,3,0.9500940648082763
Water-bilayer-K-1_val_1.tar,24,4,0.9652617693933737
Water-bilayer-K-1_val_1.tar,24,5,0.962767701680957
Water-bilayer-K-1_val_1.tar,24,6,0.8795760092284824
Water-bilayer-K-1_val_1.tar,24,7,0.4517094736432174
Water-bilayer-K-1_val_1.tar,24,8,0.30130522710572155
Water-bilayer-K-1_val_1.tar,24,9,0.2931875321629746
Water-bilayer-K-1_val_1.tar,24,10,0.37152104664378816
Water-bilayer-K-1_val_1.tar,24,11,0.5471869644522744
Water-bilayer-K-1_val_1.tar,24,12,0.7691031212799471
Water-bilayer-K-1_val_1.tar,24,13,0.8777824038100726
Water-bilayer-K-1_val_1.tar,24,14,0.9035933434924075
Water-bilayer-K-1_val_1.tar,25,0,0.8941391951724256
Water-bilayer-K-1_val_1.tar,25,1,0.9216027174737413
Water-bilayer-K-1_val_1.tar,25,2,0.9282616025364706
Water-bilayer-K-1_val_1.tar,25,3,0.9412159608858804
Water-bilayer-K-1_val_1.tar,25,4,0.9462124559987031
Water-bilayer-K-1_val_1.tar,25,5,0.8915031553206418
Water-bilayer-K-1_val_1.tar,25,6,0.8804142990290891
Water-bilayer-K-1_val_1.tar,25,7,0.814536755192637
Water-bilayer-K-1_val_1.tar,25,8,0.5297117114615439
Water-bilayer-K-1_val_1.tar,25,9,0.473007845093617
Water-bilayer-K-1_val_1.tar,25,10,0.5074375597576076
Water-bilayer-K-1_val_1.tar,25,11,0.6246818860329916
Water-bilayer-K-1_val_1.tar,25,12,0.7631017348336795
Water-bilayer-K-1_val_1.tar,25,13,0.800927395043311
Water-bilayer-K-1_val_1.tar,25,14,0.7867493653148805
Water-bilayer-K-1_val_1.tar,26,0,0.5481807564442416
Water-bilayer-K-1_val_1.tar,26,1,0.556948261000068
Water-bilayer-K-1_val_1.tar,26,2,0.5745573525848483
Water-bilayer-K-1_val_1.tar,26,3,0.6232864519198756
Water-bilayer-K-1_val_1.tar,26,4,0.6553854791398424
Water-bilayer-K-1_val_1.tar,26,5,0.6717333057831356
Water-bilayer-K-1_val_1.tar,26,6,0.9043964037883298
Water-bilayer-K-1_val_1.tar,26,7,0.8439871769092018
Water-bilayer-K-1_val_1.tar,26,8,0.6890627288369047
Water-bilayer-K-1_val_1.tar,26,9,0.29264046678768246
Water-bilayer-K-1_val_1.tar,26,10,0.26203931333991765
Water-bilayer-K-1_val_1.tar,26,11,0.30447422608015945
Water-bilayer-K-1_val_1.tar,26,12,0.37374647724828963
Water-bilayer-K-1_val_1.tar,26,13,0.4550894162434656
Water-bilayer-K-1_val_1.tar,26,14,0.5430801957880658
Water-bilayer-K-1_val_1.tar,27,0,0.6972597151286382
Water-bilayer-K-1_val_1.tar,27,1,0.9043317261550942
Water-bilayer-K-1_val_1.tar,27,2,0.9446847877883613
Water-bilayer-K-1_val_1.tar,27,3,0.23278675428945977
Water-bilayer-K-1_val_1.tar,27,4,0.21413564742820512
Water-bilayer-K-1_val_1.tar,27,5,0.2342155829424018
Water-bilayer-K-1_val_1.tar,27,6,0.27291188817633133
Water-bilayer-K-1_val_1.tar,27,7,0.28681670896416145
Water-bilayer-K-1_val_1.tar,27,8,0.3133864326876438
Water-bilayer-K-1_val_1.tar,27,9,0.4392564329687004
Water-bilayer-K-1_val_1.tar,27,10,0.9419449664063964
Water-bilayer-K-1_val_1.tar,27,11,0.9801040794172817
Water-bilayer-K-1_val_1.tar,27,12,0.9709609272309441
Water-bilayer-K-1_val_1.tar,27,13,0.9635342942098897
Water-bilayer-K-1_val_1.tar,27,14,0.9572121618658435
Water-bilayer-K-1_val_1.tar,28,0,0.6092247809813818
Water-bilayer-K-1_val_1.tar,28,1,0.6615351933020872
Water-bilayer-K-1_val_1.tar,28,2,0.9624295319617461
Water-bilayer-K-1_val_1.tar,28,3,0.8419209633610187
Water-bilayer-K-1_val_1.tar,28,4,0.279665602838697
Water-bilayer-K-1_val_1.tar,28,5,0.27500157424124944
Water-bilayer-K-1_val_1.tar,28,6,0.29270585043241193
Water-bilayer-K-1_val_1.tar,28,7,0.28620409007966924
Water-bilayer-K-1_val_1.tar,28,8,0.32850459826140394
Water-bilayer-K-1_val_1.tar,28,9,0.4572247130054264
Water-bilayer-K-1_val_1.tar,28,10,0.47679922832328836
Water-bilayer-K-1_val_1.tar,28,11,0.42249420002140814
Water-bilayer-K-1_val_1.tar,28,12,0.5979198413565526
Water-bilayer-K-1_val_1.tar,28,13,0.9096411579888265
Water-bilayer-K-1_val_1.tar,28,14,0.8867987495806935
Water-bilayer-K-1_val_1.tar,29,0,0.9118648020457949
