tar_file,sample_id,slice_idx,feature_dice,feature_distance
Water-bilayer-K-6_val_1.tar,35,0,0.24071096064325007,0.75928903935675
Water-bilayer-K-6_val_1.tar,35,1,0.6526771101239186,0.3473228898760814
Water-bilayer-K-6_val_1.tar,35,2,0.5116496897318815,0.4883503102681185
Water-bilayer-K-6_val_1.tar,35,3,0.6347272826146065,0.36527271738539346
Water-bilayer-K-6_val_1.tar,35,4,0.36272670419011876,0.6372732958098812
Water-bilayer-K-6_val_1.tar,35,5,0.7588652482269502,0.24113475177304977
Water-bilayer-K-6_val_1.tar,35,6,0.7703786191536747,0.22962138084632533
Water-bilayer-K-6_val_1.tar,35,7,0.6751579165372268,0.3248420834627732
Water-bilayer-K-6_val_1.tar,35,8,0.6808955848503869,0.3191044151496131
Water-bilayer-K-6_val_1.tar,35,9,0.6150728703920192,0.3849271296079808
Water-bilayer-K-6_val_1.tar,35,10,0.6934997847610848,0.30650021523891524
Water-bilayer-K-6_val_1.tar,35,11,0.6757723577235771,0.32422764227642287
Water-bilayer-K-6_val_1.tar,35,12,0.7994514912581419,0.20054850874185814
Water-bilayer-K-6_val_1.tar,35,13,0.728095842764865,0.27190415723513495
Water-bilayer-K-6_val_1.tar,35,14,0.6732623290091363,0.3267376709908637
Water-bilayer-K-6_val_2.tar,36,0,0.7417341654494755,0.25826583455052454
Water-bilayer-K-6_val_2.tar,36,1,0.8005410723069355,0.1994589276930645
Water-bilayer-K-6_val_2.tar,36,2,0.907647708448371,0.09235229155162905
Water-bilayer-K-6_val_2.tar,36,3,0.3606862339809838,0.6393137660190162
Water-bilayer-K-6_val_2.tar,36,4,0.7633841886269069,0.23661581137309307
Water-bilayer-K-6_val_2.tar,36,5,0.6382553021208482,0.36174469787915176
Water-bilayer-K-6_val_2.tar,36,6,0.26071357384891364,0.7392864261510863
Water-bilayer-K-6_val_2.tar,36,7,0.7035807860262008,0.2964192139737992
Water-bilayer-K-6_val_2.tar,36,8,0.6419965576592082,0.35800344234079184
Water-bilayer-K-6_val_2.tar,36,9,0.9170670937889303,0.08293290621106975
Water-bilayer-K-6_val_2.tar,36,10,0.8591904878247413,0.14080951217525872
Water-bilayer-K-6_val_2.tar,36,11,0.5184116911835399,0.4815883088164601
Water-bilayer-K-6_val_2.tar,36,12,0.6162652554271518,0.3837347445728482
Water-bilayer-K-6_val_2.tar,36,13,0.8233546617915903,0.17664533820840966
Water-bilayer-K-6_val_2.tar,36,14,0.6305816135084427,0.36941838649155734
Water-bilayer-K-6_val_2.tar,37,0,0.7910271546635183,0.20897284533648175
Water-bilayer-K-6_val_2.tar,37,1,0.879732301030116,0.12026769896988398
Water-bilayer-K-6_val_2.tar,37,2,0.7940867371961045,0.20591326280389555
Water-bilayer-K-6_val_2.tar,37,3,0.8306460339790065,0.1693539660209935
Water-bilayer-K-6_val_2.tar,37,4,0.9272617974150885,0.07273820258491148
Water-bilayer-K-6_val_2.tar,37,5,0.6350720317933432,0.36492796820665685
Water-bilayer-K-6_val_2.tar,37,6,0.627733829688227,0.372266170311773
Water-bilayer-K-6_val_2.tar,37,7,0.6969365426695842,0.30306345733041584
Water-bilayer-K-6_val_2.tar,37,8,0.8178677784395472,0.18213222156045283
Water-bilayer-K-6_val_2.tar,37,9,0.8397104446742502,0.16028955532574984
Water-bilayer-K-6_val_2.tar,37,10,0.8285288943023412,0.17147110569765878
Water-bilayer-K-6_val_2.tar,37,11,0.8614930121577091,0.13850698784229087
Water-bilayer-K-6_val_2.tar,37,12,0.7978576893649578,0.20214231063504218
Water-bilayer-K-6_val_2.tar,37,13,0.7397772538817982,0.26022274611820184
Water-bilayer-K-6_val_2.tar,37,14,0.820576613493341,0.179423386506659
Water-bilayer-K-6_val_2.tar,38,0,0.45795006570302227,0.5420499342969778
Water-bilayer-K-6_val_2.tar,38,1,0.9506799934458462,0.049320006554153806
Water-bilayer-K-6_val_2.tar,38,2,0.8264660217365339,0.17353397826346606
Water-bilayer-K-6_val_2.tar,38,3,0.32215647600262975,0.6778435239973702
Water-bilayer-K-6_val_2.tar,38,4,0.0,1.0
Water-bilayer-K-6_val_2.tar,38,5,0.0,1.0
Water-bilayer-K-6_val_2.tar,38,6,0.0,1.0
Water-bilayer-K-6_val_2.tar,38,7,0.0,1.0
Water-bilayer-K-6_val_2.tar,38,8,0.35571600481347765,0.6442839951865224
Water-bilayer-K-6_val_2.tar,38,9,0.30918091809180914,0.6908190819081909
Water-bilayer-K-6_val_2.tar,38,10,0.6005221932114881,0.39947780678851186
Water-bilayer-K-6_val_2.tar,38,11,0.6914541561222503,0.30854584387774975
Water-bilayer-K-6_val_2.tar,38,12,0.7399534071054163,0.26004659289458365
Water-bilayer-K-6_val_2.tar,38,13,0.4438927507447864,0.5561072492552136
Water-bilayer-K-6_val_2.tar,38,14,0.6362426822778072,0.3637573177221928
Water-bilayer-K-6_val_2.tar,39,0,0.0,1.0
Water-bilayer-K-6_val_2.tar,39,1,0.0,1.0
Water-bilayer-K-6_val_2.tar,39,2,0.0,1.0
Water-bilayer-K-6_val_2.tar,39,3,0.0,1.0
Water-bilayer-K-6_val_2.tar,39,4,0.8322736905843172,0.16772630941568278
Water-bilayer-K-6_val_2.tar,39,5,0.7270693512304249,0.27293064876957507
Water-bilayer-K-6_val_2.tar,39,6,0.4677879413789711,0.5322120586210288
Water-bilayer-K-6_val_2.tar,39,7,0.4223619098568944,0.5776380901431055
Water-bilayer-K-6_val_2.tar,39,8,0.3679218166139695,0.6320781833860305
Water-bilayer-K-6_val_2.tar,39,9,0.19005881674547337,0.8099411832545267
Water-bilayer-K-6_val_2.tar,39,10,0.1486450228065468,0.8513549771934532
Water-bilayer-K-6_val_2.tar,39,11,0.43968503937007863,0.5603149606299214
Water-bilayer-K-6_val_2.tar,39,12,0.670950341107409,0.32904965889259097
Water-bilayer-K-6_val_2.tar,39,13,0.7257467292026659,0.2742532707973341
Water-bilayer-K-6_val_2.tar,39,14,0.7010722281135855,0.2989277718864145
Water-bilayer-K-6_val_2.tar,40,0,0.5023718616221219,0.4976281383778781
Water-bilayer-K-6_val_2.tar,40,1,0.6111052576124748,0.3888947423875252
Water-bilayer-K-6_val_2.tar,40,2,0.6894084366419834,0.31059156335801663
Water-bilayer-K-6_val_2.tar,40,3,0.8883301906557719,0.1116698093442281
Water-bilayer-K-6_val_2.tar,40,4,0.7950909489371026,0.20490905106289736
Water-bilayer-K-6_val_2.tar,40,5,0.890680192011593,0.10931980798840701
Water-bilayer-K-6_val_2.tar,40,6,0.5780389276533234,0.42196107234667657
Water-bilayer-K-6_val_2.tar,40,7,0.774538964901844,0.22546103509815596
Water-bilayer-K-6_val_2.tar,40,8,0.5160220994475136,0.48397790055248635
Water-bilayer-K-6_val_2.tar,40,9,0.0,1.0
Water-bilayer-K-6_val_2.tar,40,10,0.0,1.0
Water-bilayer-K-6_val_2.tar,40,11,0.17451122375090508,0.8254887762490949
Water-bilayer-K-6_val_2.tar,40,12,0.18430355880273389,0.8156964411972661
Water-bilayer-K-6_val_2.tar,40,13,0.6985774058577405,0.30142259414225947
Water-bilayer-K-6_val_2.tar,40,14,0.6339525645519335,0.3660474354480665
Water-bilayer-K-6_val_2.tar,41,0,0.0,1.0
Water-bilayer-K-6_val_2.tar,41,1,0.6316710411198599,0.36832895888014006
Water-bilayer-K-6_val_2.tar,41,2,0.6018020535028288,0.3981979464971712
Water-bilayer-K-6_val_2.tar,41,3,0.6776470588235293,0.32235294117647073
Water-bilayer-K-6_val_2.tar,41,4,0.8647942521227955,0.13520574787720452
Water-bilayer-K-6_val_2.tar,41,5,0.3284356093344857,0.6715643906655143
