tar_file,sample_id,slice_idx,gssim
Water-bilayer-K-1_val_0.tar,16,2,0.024637531277490653
Water-bilayer-K-1_val_0.tar,16,3,0.030565074503444208
Water-bilayer-K-1_val_0.tar,16,4,0.04166997127336167
Water-bilayer-K-1_val_0.tar,16,5,0.345599208961904
Water-bilayer-K-1_val_0.tar,16,6,0.3307091543113323
Water-bilayer-K-1_val_0.tar,16,7,0.011821979297710191
Water-bilayer-K-1_val_0.tar,16,8,0.007424917648943014
Water-bilayer-K-1_val_0.tar,16,9,0.009068426291100601
Water-bilayer-K-1_val_0.tar,16,10,0.007085712212275079
Water-bilayer-K-1_val_0.tar,16,11,0.01058514990502716
Water-bilayer-K-1_val_0.tar,16,12,0.014041987630081163
Water-bilayer-K-1_val_0.tar,16,13,0.01801461561485048
Water-bilayer-K-1_val_0.tar,16,14,0.022929215468210175
Water-bilayer-K-1_val_0.tar,17,0,0.11283179073418208
Water-bilayer-K-1_val_0.tar,17,1,0.15328953716144167
Water-bilayer-K-1_val_0.tar,17,2,0.21023855273939074
Water-bilayer-K-1_val_0.tar,17,3,0.22582773479258944
Water-bilayer-K-1_val_0.tar,17,4,0.28347690090147737
Water-bilayer-K-1_val_0.tar,17,5,0.3052388677748898
Water-bilayer-K-1_val_0.tar,17,6,0.3901686456550968
Water-bilayer-K-1_val_0.tar,17,7,0.40443509461741506
Water-bilayer-K-1_val_0.tar,17,8,0.3313991329227485
Water-bilayer-K-1_val_0.tar,17,9,0.29599316256097286
Water-bilayer-K-1_val_0.tar,17,10,0.2614647479491304
Water-bilayer-K-1_val_0.tar,17,11,0.24863653848011708
Water-bilayer-K-1_val_0.tar,17,12,0.23616091418505095
Water-bilayer-K-1_val_0.tar,17,13,0.2571918438179216
Water-bilayer-K-1_val_0.tar,17,14,0.2398007401106586
Water-bilayer-K-1_val_1.tar,18,0,0.04606658402233553
Water-bilayer-K-1_val_1.tar,18,1,0.04463037439265213
Water-bilayer-K-1_val_1.tar,18,2,0.05501844991899421
Water-bilayer-K-1_val_1.tar,18,3,0.111972827769971
Water-bilayer-K-1_val_1.tar,18,4,0.16629921910428874
Water-bilayer-K-1_val_1.tar,18,5,0.35477786690013946
Water-bilayer-K-1_val_1.tar,18,6,0.07664932927857268
Water-bilayer-K-1_val_1.tar,18,7,0.009653353670509195
Water-bilayer-K-1_val_1.tar,18,8,0.008683753699123185
Water-bilayer-K-1_val_1.tar,18,9,0.006904997418480772
Water-bilayer-K-1_val_1.tar,18,10,0.005328223501940069
Water-bilayer-K-1_val_1.tar,18,11,0.010657161368782524
